客户物料,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,西陇物料,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
客户名称,客户id,客户物料编码,商品名称,规格,型号/等级,品牌,单位,西陇存货编码,商品名称,规格,型号/等级,品牌,单位,skuId,备注
无锡深南电路有限公司,,109100283,试剂类 硝酸,500ML/瓶,AR级,,支,1270190101601,硝酸,AR500ml/玻瓶,AR,西化,瓶,,
无锡深南电路有限公司,,109100256,试剂类 磷酸,500ML/瓶,AR级,,支,1270410101602,磷酸,AR500ml/塑瓶,AR,西化,瓶,,
无锡深南电路有限公司,,109100386,试剂类 草酸,500G/瓶,CP级,,瓶,1270090201700,二水合草酸（草酸）,CP500g/瓶,CP,西化,瓶,,
无锡深南电路有限公司,,109100091,氧化类 高锰酸钾,25KG/桶 开缸用,AR级,,千克,1020270101400,高锰酸钾,AR25kg/桶,AR,西化,KG,,
无锡深南电路有限公司,,109100158,化金药水 一水合柠檬酸,500G/瓶,CP级,,千克,1270610201700,一水合柠檬酸（柠檬酸）,CP500g/瓶,CP,西化,瓶,,
TCL华星光电技术有限公司,,72S05060000015,"ALCOHOL,乙醇,95%",25L/桶,AR,,L,1280010104100,乙醇(95%),AR25L/桶,AR,西化,升,,
艾感科技(广东)有限公司,,,无水乙醇,,,,KG,1280340106100,乙醇(无水乙醇),AR20kg/桶,AR,西化,KG,,
巴斯夫（上海）涂料制造有限公司,,50969453,JEFFCAT DMAE 180KG 1A1,,,,KG,2250570307500,"N,N-二甲基乙醇胺",180KG/桶,工业级,扬子石化－巴斯夫,KG,,精细，202505080000915_01
巴斯夫化工有限公司,,,进口陶瓷坩埚，FB965E 30ML,,,,PC,6041601592001,陶瓷坩埚,FB965E 30ml,,其他,个,,
巴斯夫化工有限公司,,,耐高温退火杯，C64020004高*外径 44mm*41mm,,,,PC,6040101803707,退火杯,"""C64020004 高*外径 44mm*41mm""",,其他,个,,
巴斯夫化工有限公司,,,高纯石英坩埚 100ML,,,,PC,6041601592002,高纯石英坩埚,100ml,,其他,个,,
巴斯夫化工有限公司,,,高纯氧化铝坩埚，100ML,,,,PC,6041601592003,高纯氧化铝坩埚,100ml,,其他,个,,
潮州三环（集团）股份有限公司,,,乙二胺四乙酸二钠,1000g/袋,AR,,袋,1010680110600,乙二胺四乙酸二钠,AR1000g/包,AR,西化,包,,
潮州三环（集团）股份有限公司,,,无水硫酸钠,500g/瓶,AR,,瓶,1010460101700,无水硫酸钠,AR500g/瓶,AR,西化,瓶,,
成都药明康德新药开发有限公司,,20006022,(CHEM备库-THRQ)(W-C)过氧化氢叔丁基*(GHQ议价)(121试剂),250ML,cp >65%,,,2280893704400,过氧化氢叔丁醇70% in H2O(W),250ml/瓶,,麦克林,瓶,,四川，202507080000123_01
东莞昌明印刷有限公司,,,聚合氯化铝,,,,公斤,1120110304201,聚合氯化铝,GY25kg/袋,GY,西化,KG,,
东莞康源电子有限公司,,N-H-CLAB-00000076,氯化钠,氯化钠CLAB-分析纯0.6KG/瓶-0.6KG,分析纯,,千克,1010110101700,氯化钠,AR500g/瓶,AR,西化,瓶,,
东莞市仁吉电子材料有限公司,,,單乙醇胺,,,揚子 BASF,kg,2250040305809,一乙醇胺,210KG/桶,工业级,扬子石化－巴斯夫,KG,,发货精细
赣州市展宏新材科技有限公司,,7040401-00002,无水乙醇,AR500ml/瓶,AR,,瓶,1280340101602,乙醇(无水乙醇),AR500ml/塑瓶,AR,西化,瓶,,
广东邦普循环科技有限公司,,590117160009,无水乙醇,500ml/瓶,分析纯AR,西陇科技,瓶,1280340101602,乙醇(无水乙醇),AR500ml/塑瓶,AR,西化,瓶,,
广东瑞石制药科技有限公司,,60001545,变色硅胶.500g/瓶，LR，广试,500g/瓶，LR，广试,,,瓶,1410030201700,硅胶（含变色指示剂）,CP500g/瓶,CP,西化,瓶,,
健帆生物科技集团股份有限公司,,1800019,过硫酸铵,500克/瓶,分析纯,,瓶,1260140101700,过硫酸铵,AR500g/瓶,AR,西化,瓶,,
江门三捷电池实业有限公司,,,磷酸氢二钠,,,,KG,1010590104202,十二水合磷酸氢二钠（磷酸氢二钠）,AR25kg/桶,AR,西化,KG,,
匠油网科技（厦门）有限公司,,,进口甘油,,,印尼金光,千克,2280180700100,丙三醇（甘油）,散水,食品级,金光,KG,,精细，202506230001136_01
科太精密工业（深圳）有限公司,,L022246,异丙醇（IPA）,165KG/桶,,,BL,2280250308102,异丙醇,165KG/桶(全新桶),工业级,其他,KG,,发货精细
科太精密工业（深圳）有限公司,,L062057,无水乙醇,>=99.7% AR500ML/瓶,AR,,BT,1280340101601,乙醇(无水乙醇),AR500ml/玻瓶,AR,西化,瓶,,
科太精密工业（深圳）有限公司,,L062476,乙醇,>=95% AR20KG/桶,AR,,KG,1280010106100,乙醇(95%),AR20kg/桶,AR,西化,KG,,
郎溪县科宏科技有限公司,,,AR级氨水,2500ml瓶装,AR,,瓶,1260180104700,氨水,AR2500ml/瓶,AR,西化,瓶,,
立邦汽车涂料（广州）有限公司,,1700730,APH SA99单体,25.000 KG/BAG,,,BAG,1270830104204,氨基磺酸,AR25kg/袋M,AR,西化,KG,,
龙岩市新罗区盛业器化玻仪经营部（普通合伙）,,,无水乙醇,AR500ML,AR,,,1280340101601,乙醇(无水乙醇),AR500ml/玻瓶,AR,西化,瓶,,
